ssrcss-gfjuy9-Timestamp,visually-hidden,ssrcss-yjj6jm-LinkPostHeadline,ssrcss-61mhsj-MetadataText
16:02,"Student's 'life-changing' seizure led to paralysis, published at 16:02",Student's 'life-changing' seizure led to paralysis,England
15:16 28 July,"'I was fined even though I have a blue badge', published at 15:16 28 July",'I was fined even though I have a blue badge',Shropshire
13:32 28 July,"New secondary school to open for SEND pupils, published at 13:32 28 July",New secondary school to open for SEND pupils,North Yorkshire
11:24 28 July,"Trainee hearing puppy saves trainer's life, published at 11:24 28 July",Trainee hearing puppy saves trainer's life,Hampshire & Isle of Wight
06:52 28 July,"Family anger over woman's blue badge refusal, published at 06:52 28 July",Family anger over woman's blue badge refusal,Norfolk
07:09 27 July,"Tour guides for deaf people 'will encourage inclusivity', published at 07:09 27 July",Tour guides for deaf people 'will encourage inclusivity',Northern Ireland
12:44 25 July,"Accessible play area opens for SEND children, published at 12:44 25 July",Accessible play area opens for SEND children,England
06:26 25 July,"'I hope MS trial can stall the loss of limb use', published at 06:26 25 July",'I hope MS trial can stall the loss of limb use',
06:11 25 July,"More SEND children to stay in mainstream schools, published at 06:11 25 July",More SEND children to stay in mainstream schools,Stoke & Staffordshire
05:59 25 July,"Inclusive festival to return 'bigger and better', published at 05:59 25 July",Inclusive festival to return 'bigger and better',"Beds, Herts & Bucks"
19:51 24 July,"Home adaptation fund to cut hospital readmissions, published at 19:51 24 July",Home adaptation fund to cut hospital readmissions,Wear
07:58 24 July,"Princess Anne opens garden in spinal injuries unit, published at 07:58 24 July",Princess Anne opens garden in spinal injuries unit,South Yorkshire
06:20 24 July,"How a toy squirrel is helping to train guide dogs. Video, 00:01:01, published at 06:20 24 July",How a toy squirrel is helping to train guide dogs,Disability
06:17 24 July,"Chess tournament for visually impaired takes place, published at 06:17 24 July",Chess tournament for visually impaired takes place,Dorset
06:16 24 July,"Blind business owner creates QR codes for menus, published at 06:16 24 July",Blind business owner creates QR codes for menus,Devon
06:13 24 July,"'Dream big' says SEND intern who secured job, published at 06:13 24 July",'Dream big' says SEND intern who secured job,Oxfordshire
15:55 23 July,"Tech glitch leaves some disabled people unable to pay for care, published at 15:55 23 July",Tech glitch leaves some disabled people unable to pay for care,Disability
06:20 23 July,"Concerns as care home repairs take over six weeks, published at 06:20 23 July",Concerns as care home repairs take over six weeks,Isle of Man
06:19 23 July,"Accessible play area to be built for SEND children, published at 06:19 23 July",Accessible play area to be built for SEND children,Oxfordshire
06:12 23 July,"Volunteer knits hundreds of blankets for guide dogs. Video, 00:01:37, published at 06:12 23 July",Volunteer knits hundreds of blankets for guide dogs,Tees
06:10 23 July,"Disabled woman 'trapped' in home since Christmas, published at 06:10 23 July",Disabled woman 'trapped' in home since Christmas,West Yorkshire
18:32 22 July,"Broken lift means man, 80, with cancer must climb to flat, published at 18:32 22 July","Broken lift means man, 80, with cancer must climb to flat",Wales
06:42 22 July,"'Blindness won't stop me from wing walking', published at 06:42 22 July",'Blindness won't stop me from wing walking',Nottinghamshire
06:17 22 July,"SEN units are planned for schools from September, published at 06:17 22 July",SEN units are planned for schools from September,Somerset
06:08 22 July,"Can you help train a dog to assist deaf people? , published at 06:08 22 July",Can you help train a dog to assist deaf people?,Surrey
18:25 21 July,"Charity highlights abuse of disabled parking bays, published at 18:25 21 July",Charity highlights abuse of disabled parking bays,Norfolk
14:23 21 July,"Broken lift leaves disabled boy's mum 'exhausted', published at 14:23 21 July",Broken lift leaves disabled boy's mum 'exhausted',London
06:11 21 July,"Disabled woman dismayed after care package reduced, published at 06:11 21 July",Disabled woman dismayed after care package reduced,Tees
06:09 21 July,"Cheerleading 'has opened up so much for me', published at 06:09 21 July",Cheerleading 'has opened up so much for me',Devon
05:58 21 July,"'Deaf learner drivers need more support', published at 05:58 21 July",'Deaf learner drivers need more support',Birmingham & Black Country
19:05 20 July,"Swim sessions introduced for adults with sight loss, published at 19:05 20 July",Swim sessions introduced for adults with sight loss,Sussex
14:30 20 July,"Paralympian praised for tackling disability stigma, published at 14:30 20 July",Paralympian praised for tackling disability stigma,Norfolk
07:58 20 July,"Special needs school garden wins flower show gold, published at 07:58 20 July",Special needs school garden wins flower show gold,Lincolnshire
18:05 18 July,"One-handed pianist prepares for Proms performance. Video, 00:00:58, published at 18:05 18 July",One-handed pianist prepares for Proms performance,Disability
06:28 18 July,"Childcare hub holiday 'lifeline' for SEND parents, published at 06:28 18 July",Childcare hub holiday 'lifeline' for SEND parents,Hampshire & Isle of Wight
06:27 18 July,"Disability passports aim to cut job search stress, published at 06:27 18 July",Disability passports aim to cut job search stress,Wear
05:58 17 July,"'Our football club changed my family's life', published at 05:58 17 July",'Our football club changed my family's life',Bristol
13:25 16 July,"Grey-Thompson humiliated by blame for flight delay, published at 13:25 16 July",Grey-Thompson humiliated by blame for flight delay,Wales
07:27 16 July,"Student overcomes severe spinal injury to graduate, published at 07:27 16 July",Student overcomes severe spinal injury to graduate,England
06:31 16 July,"Council votes to make play parks more accessible, published at 06:31 16 July",Council votes to make play parks more accessible,Hampshire & Isle of Wight
06:08 16 July,"Surrey SEND support services in crisis, MPs say , published at 06:08 16 July","Surrey SEND support services in crisis, MPs say",Surrey
17:19 15 July,"Scrap net zero target and improve social care plea, published at 17:19 15 July",Scrap net zero target and improve social care plea,England
16:37 15 July,"Eight set to receive honorary degree, published at 16:37 15 July",Eight set to receive honorary degree,Coventry & Warwickshire
16:18 15 July,"Lack of SEND support 'harming mental health', published at 16:18 15 July",Lack of SEND support 'harming mental health',England
08:57 15 July,"Council to hear from parents of children with Send, published at 08:57 15 July",Council to hear from parents of children with Send,"Beds, Herts & Bucks"
08:30 15 July,"The train carriage cafe where sign language is used, published at 08:30 15 July",The train carriage cafe where sign language is used,London
06:12 15 July,"Empty building to become learning disability homes, published at 06:12 15 July",Empty building to become learning disability homes,Hull & East Yorkshire
06:04 15 July,"SEND funding debate 'will bring fear and anxiety', published at 06:04 15 July",SEND funding debate 'will bring fear and anxiety',England
16:46 14 July,"When your dog has something to say about Universal Credit. Video, 00:00:45, published at 16:46 14 July",When your dog has something to say about Universal Credit,Disability
15:34 14 July,"Rose Ayling-Ellis awarded honorary doctorate, published at 15:34 14 July",Rose Ayling-Ellis awarded honorary doctorate,Surrey
11:18 14 July,"BSL interpreter's passion for accessible music, published at 11:18 14 July",BSL interpreter's passion for accessible music,Coventry & Warwickshire
06:24 13 July,"Love of swimming rekindled after visual impairment, published at 06:24 13 July",Love of swimming rekindled after visual impairment,Cambridgeshire
11:15 12 July,"Disability bus service thrown funding lifeline, published at 11:15 12 July",Disability bus service thrown funding lifeline,Guernsey
07:09 12 July,"School move from 'dilapidated' site to take years, published at 07:09 12 July",School move from 'dilapidated' site to take years,Oxfordshire
06:20 12 July,"Teen who cannot eat or drink is making most of life, published at 06:20 12 July",Teen who cannot eat or drink is making most of life,Essex
12:14 11 July,"'Learning sign language has been life-changing', published at 12:14 11 July",'Learning sign language has been life-changing',Wolverhampton
06:30 11 July,"'I had to watch Justin Timberlake from a car park', published at 06:30 11 July",'I had to watch Justin Timberlake from a car park',Essex
14:16 10 July,"Christine McGuiness on designing play parks for neurodiverse kids. Video, 00:01:22, published at 14:16 10 July",Christine McGuiness on designing play parks for neurodiverse kids,
06:15 10 July,"Guide dog puppies train at Chatsworth House, published at 06:15 10 July",Guide dog puppies train at Chatsworth House,Derbyshire
06:29 9 July,"Digital landline switch could sever telecare alarms, published at 06:29 9 July",Digital landline switch could sever telecare alarms,Gloucestershire
06:29 9 July,"Rugby player's stoma bag gives him 'second chance', published at 06:29 9 July",Rugby player's stoma bag gives him 'second chance',North Yorkshire
06:12 9 July,"Council reveals plans for new specialist primary, published at 06:12 9 July",Council reveals plans for new specialist primary,"Beds, Herts & Bucks"
